Name,Date + Time,Location,Type,Region,Latitude,Longitude,Weather Forecast
Nordic Journeys,Ongoing,National Nordic Museum,Museums,Fremont / Ballard,47.6683615,-122.39177949359151,unknown
Baird�s beaked whale,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Amazing Life,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Culture is Living,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Fossils Uncovered,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Northwest Native Art,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Our Material World,Ongoing,Burke Museum,Museums,University District,47.6605211,-122.31156049949824,unknown
Apollo,Ongoing,The Museum of Flight,Museums,South Seattle,32.70030575,-94.94716355,unknown
Art and Life Along the Northwest Coast,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
Washington: My Home,Ongoing,Washington State History Museum,Museums,South,47.2447212,-122.43608807502436,unknown
Sensory-Friendly Programs,Ongoing,MoPOP Museum of Pop Culture,Festivals & Special Events,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,unknown
Dale Chihuly at Tacoma Art Museum,Ongoing,Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,unknown
Be/longing: Contemporary Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,unknown
Porcelain Room,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
Life on the Edge,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,unknown
Tropical Pacific,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,unknown
Underwater Dome,Ongoing,Seattle Aquarium,Museums,Downtown,47.60762475,-122.34322017076866,unknown
Meet the Animals,Ongoing,Woodland Park Zoo,Museums,Wallingford / Greenlake,47.669143399999996,-122.35096188536495,unknown
Chihuly Garden and Glass,Ongoing,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,unknown
Discover Ancient Coast Salish Culture,Ongoing,Hibulb Cultural Center,Museums,North,48.05373125,-122.20152426611563,unknown
Savor Seattle Signature Tour: Pike Place Market,Ongoing,Pike Place Market,Tours & Attractions,Downtown,47.60939675,-122.34141017673986,unknown
Untold Stories: World War II at 75,Ongoing,The Museum of Flight,Museums,South Seattle,32.70030575,-94.94716355,unknown
Bezos Center for Innovation,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,unknown
Maritime Seattle,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,unknown
True Northwest: The Seattle Journey,Ongoing,Museum of History & Industry,Museums,Queen Anne / Seattle Center,47.6275114,-122.3367506,unknown
Metaphor into Form: Art in the Era of the Pilchuck Glass School,Ongoing,Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,unknown
Winter in the West,Ongoing,Tacoma Art Museum,Museums,South,47.2475134,-122.43680521780016,unknown
Ballard Farmers Market � Sunday,Ongoing,Ballard Farmers Market,Festivals & Special Events,Fremont / Ballard,37.539526,-122.0096885,unknown
Capitol Hill Farmers Market � Sunday,Ongoing,Capitol Hill Farmers Market,Festivals & Special Events,Capitol Hill / Central District,47.618892450000004,-122.32016705491071,unknown
University District Farmers Market,Ongoing,University District Farmers Market,Festivals & Special Events,University District,47.665682950000004,-122.3130697496926,unknown
Fremont Sunday Market,Ongoing,Fremont Farmers Market,Festivals & Special Events,Fremont / Ballard,47.6637543,-122.3330234,unknown
Chihuly Garden and Glass Gallery Talks & Tours,Ongoing,Chihuly Garden and Glass,Tours & Attractions,Queen Anne / Seattle Center,47.6205296,-122.35020712496446,unknown
Boundless: Stories of Asian Art,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,unknown
Kenzan Tsutakawa-Chinn: Gather,Ongoing,Seattle Asian Art Museum,Museums,Capitol Hill / Central District,47.63029565,-122.31413540328062,unknown
Art Walk Edmonds | Every Third Thursday,Ongoing,Cascadia Art Museum,Visual Arts & Galleries,North,47.8104565,-122.3839448,unknown
Rise Up: Stonewall and the LGBTQ Rights Movement,Ongoing,MoPOP Museum of Pop Culture,Museums,Queen Anne / Seattle Center,47.621493099999995,-122.34822527405619,unknown
Show Me Seattle Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.5989361,-122.3279543,unknown
LeMay � America�s Car Museum,Ongoing,LeMay - America's Car Museum,Museums,South,47.2362108,-122.43044382406997,unknown
History Link Tours,Ongoing,"Seattle, WA",Tours & Attractions,Downtown,47.5989361,-122.3279543,unknown
West Seattle Farmers Market � Sundays,Ongoing,West Seattle Farmers Market,Festivals & Special Events,West Seattle,47.5620654,-122.3869194,unknown
REMEMBRANCE: The Legacy of Executive Order 9066 in Washington State,Ongoing,Washington State History Museum,Museums,South,47.2447212,-122.43608807502436,unknown
Pioneer Square First Thursday Art Walk,Ongoing,Pioneer Square,Visual Arts & Galleries,Pioneer Square,47.6030025,-122.3314431,unknown
Deities and Demons: Supernatural in Japanese Art,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
American Art: The Stories We Carry,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
Pacific Species,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
Reverberations: Contemporary Art and Modern Classics,Ongoing,Seattle Art Museum,Museums,Downtown,47.6077008,-122.3385575,unknown
75 Years of Porsche,Ongoing,LeMay - America's Car Museum,Museums,South,47.2362108,-122.43044382406997,unknown
Manazma Sheen,Ongoing,Sea Monster Lounge,Music,Wallingford / Greenlake,47.6615049,-122.332319,unknown
